ProgramNumber,Category,ProgramName,PlaceName,Image,StartDay,EndDay,TargetAudience,Fee
77,전시/미술,《빛: 영국 테이트미술관 특별전》,서울시립 북서울미술관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=77e1fdca64cb456fa6e4e4efaf77e736&thumb=Y,2021-12-21,2022-05-08,전체관람 ,일반 만 24세 초과 ~ 만 65세 미만 : 15000원 / 청소년 만 12세 초과 ~ 만 24세 : 12000원 / 어린이 만 6세초과 ~ 만 12세 : 9000원 / 전시예매 : 인터파크 / 특별 할인과 무료 입장 대상자에 관한 자세한 내용은 홈페이지 참조
78,전시/미술,라운지 프로젝트,서울시립 북서울미술관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ae2ff4fe07e344a49ba3a6f0c069c19a&thumb=Y,2021-12-21,2022-05-08,누구나,
79,전시/미술,먼길 이야기,서울시립 북서울미술관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a26ffb6676a344c9b14a9f1e5ff9355f&thumb=Y,2021-10-05,2022-06-19,누구나,
80,전시/미술,비대면 주제해설 과학관QR옴니버스,서울시립과학관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6cf76404b5184b31b69b174c0dd3bd4f&thumb=Y,2021-05-21,2023-12-31,누구나,
81,전시/미술,[전시회] 5th 자연을 담은 생태화 작품전시회,서울시립과학관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0e9b31101b174a6a92102cb1fc0a61c3&thumb=Y,2022-01-04,2022-06-30,누구나,
82,전시/미술,서울시립미술관 《성찬경 : 청금루 주인》,서울시립남서울미술관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=775b237d15f7492ab87cb234e75f993a&thumb=Y,2022-03-24,2022-05-29,전연령,
83,전시/미술,<<경로를 재탐색합니다 UN/LEARNING AUSTRALIA>>,서울시립미술관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=af6f9985699f4f26b01d800c690d8f7a&thumb=Y,2021-12-14,2022-03-06,시민,
84,전시/미술,서울시립미술관 권진규탄생100주년기념 《노실의천사》,서울시립미술관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8557b253e3664903b35019ce1ccc7248&thumb=Y,2022-03-24,2022-05-22,전연령,
85,전시/미술,한양의 상징대로 육조거리,서울역사박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=875cc054457c451b957d2d6dc6ad7076&thumb=Y,2021-11-16,2022-03-27,전체,
86,전시/미술,강병기 교수 기증유물특별전 '어느 도시학자가 꿈 꾼 서울',서울역사박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=54fbbca4f7bd4bf9921fbb61c4ec50f7&thumb=Y,2021-10-29,2022-03-06,전체,
87,전시/미술,칸딘스키 말레비치 & 러시아 아방가르드 : 혁명의 예술展,세종문화회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=20a22d1ab43e458b9de77b8bebeadce8&thumb=Y,2021-12-31,2022-04-17,만4세 이상,관 람 료: 성인 20000/ 청소년 15000원/ 어린이 13000원
88,전시/미술,시민청 소리갤러리 전시 - 김현주?조광희 <도시-도심(心)>,시민청,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c022936aeddb40b7afc715b0dd76bc80&thumb=Y,2022-02-10,2022-03-31,누구나,
89,전시/미술,서리풀 休 갤러리 <산의 비밀> 김태민 개인전,반포심산아트홀,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0963daffb4d54ac7a94299fbdd01831c&thumb=Y,2022-01-27,2022-03-25,전체,
90,전시/미술,청계천 기계공구상가-붕어빵틀에서 인공위성까지,청계천박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8b7f3fd8e1ec4e12b0f97442db0b3177&thumb=Y,2021-12-10,2022-04-10,누구나,
91,전시/미술,소망을 새기다,코리아나 화장박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b030bb7a9cc9473a8f1e3d525ed50a61&thumb=Y,2021-11-23,2022-04-30,전체이용가,성인 4000원 / 학생 3000원 / 65세 이상 7세 이하 장애인 무료
92,전시/미술,2021년 한양도성박물관 하반기 기획전 '도성의 서쪽 문 헐값에 팔리다',한양도성박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c6486360e5b24721a76afc04e9bce82b&thumb=Y,2021-11-09,2022-03-06,전체,
93,전시/미술,도성의 서쪽 문 헐값에 팔리다,한양도성박물관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=194d3212068845bd8f438b3e5bf7a88d&thumb=Y,2021-11-09,2022-03-06,전체,
94,전시/미술,EXHIBITION  - Four Stories -,히든플레이스,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6ce5b19de0394395bf445630a73b2304&thumb=Y,2022-03-04,2022-03-13,모든시민,무료
95,콘서트,TikTok : 나래한바퀴 - for Woman,금나래아트홀,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ec2f510b0c6f408796c1658fc71010b0&thumb=Y,2022-03-30,2022-03-30,만 5세 이상 관람가,전석 1만원 (할인율 상세페이지 참조)
96,콘서트,톤픽쳐 토크콘서트,북서울꿈의숲,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3eaedbf9c8d74a458387872345b23694&thumb=Y,2022-03-05,2022-03-05,미취학아동 입장불가 ,전석 10000원
97,콘서트,2022 봄에 내리는 젠틀레인-재즈로 듣는 로맨틱 팝 & 가요,백암아트홀,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6d88fcec1bdb4d70956233b04513bb17&thumb=Y,2022-04-23,2022-04-23,8세 이상,VIP석 55000원 R석 44000원
98,콘서트,2022 트리오 바스 콘서트,세종문화회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e821749f8a7641778467d558ffaa139f&thumb=Y,2022-03-03,2022-03-03,초등학생 이상 관람,전석 20000원
99,클래식,브런치 콘서트<낭만드림-낭만 모차르트1>,강동아트센터,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=465d6772bbd74978aa8370b4e9f7f9dc&thumb=Y,2022-04-07,2022-04-07,전체관람가,전석 10000원
100,클래식,음악 소울넘버를 만나다,북서울꿈의숲,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cb38c94980af48718cf9c84a1661446c&thumb=Y,2022-03-06,2022-03-06,미취학아동 입장불가 ,전석 20000원
101,클래식,피아노 앙상블 S,북서울꿈의숲,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1fa2bced222f48ee95dd0ca22f7053cc&thumb=Y,2022-03-08,2022-03-08,전체관람가 ,전석 20000원 
102,클래식,테너 존노 리사이틀,노원문화예술회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=946851cdace141ebb0dcdbcdd0078b0c&thumb=Y,2022-03-17,2022-03-17,8세 이상,R석 40000원 A석 30000원
103,클래식,트리오 아티스트리 제3회 정기연주회,세종문화회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b45759fb82ef4788b1ca96b3e92ba118&thumb=Y,2022-03-05,2022-03-05,만 7세 이상 관람 가능,전석 30000원
104,클래식,김상원 김지나 피아노 듀오 리사이틀,세종문화회관,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=347c30db4d2e4d1c9d0afb02cd6737cc&thumb=Y,2022-03-08,2022-03-08,미취학아동 입장불가 ,전석 20000원
105,클래식,2022 서울시향 오스모 벤스케의 수수께끼 변주곡,예술의전당,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cff95356c24f41a0b0eb62690175f9d3&thumb=Y,2022-03-31,2022-04-01,홈페이지 참고,R 90000 S 70000 A 50000 B 30000 C 10000
106,클래식,코리아쿱오케스트라의 <온 클래식> - 새봄 ,충무아트센터,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=43f9ce6848df4dfe924fd6710d161dca&thumb=Y,2022-03-09,2022-03-09,만 7세 이상,일반 10000원 / 중구민 5000원
107,클래식,뮤지컬<빈센트 반 고흐>,충무아트센터,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b01d5b432126461cacb24b49d07b9001&thumb=Y,2022-03-27,2022-06-26,12세 이상 관람가 (초등학교 5학년 이상),R석 66000원 S석 44000
