group,placeName,lineNumber,station,address,lat,lng
공연/전시장,유담헌,3호선,안국역,서울 종로구 북촌로 76,37.58358 ,126.98537 
미술관,유리지공예관,4호선,선바위역,서울 서초구 중앙로 555,37.45778 ,127.01233 
박물관/기념관,육군사관학교 박물관,"6호선, 경춘선",신내역,서울 노원구 공릉동 77,37.62292 ,127.10062 
박물관/기념관,윤동주문학관,3호선,경복궁역,서울 종로구 창의문로 119,37.59209 ,126.96712 
공연장,은평문화예술회관,6호선,역촌역,서울 은평구 녹번로 16,37.60370 ,126.92787 
박물관/기념관,은평역사한옥박물관,3호선,구파발역,서울 은평구 연서로50길 8,37.64048 ,126.93812 
유적지,을지문덕장군상,5호선,아차산역,서울 광진구 능동,37.55161 ,127.08844 
유적지,의릉,6호선,상월곡역,서울 성북구 화랑로32길,37.60384 ,127.05754 
기타,이건하우스,"2호선, 경의선, 공항철도",홍대입구역,서울 마포구 동교로 161,37.55594 ,126.91964 
기타,이문체육문화센터,1호선,신이문역,서울 동대문구 이문동 189,,
박물관/기념관,이화여고 100주년기념관,5호선,서대문역,서울 중구 정동길 26,37.56626 ,126.97072 
박물관/기념관,이화여대박물관,경의선,신촌역,서울 서대문구 대현동 11-1,37.56035 ,126.94471 
박물관/기념관,이화여자대학교 자연사박물관,경의선,신촌역,서울 서대문구 대현동 11-1,37.56057 ,126.94820 
유적지,이화장,4호선,혜화역,서울 종로구 이화장1길 32,37.57831 ,127.00633 
미술관,인사아트센터,3호선,안국역,서울 종로구 관훈동 188,37.57385 ,126.98460 
미술관,인사아트프라자갤러리,"1호선, 3호선, 5호선",종로3가역,서울 종로구 관훈동 21,37.57385 ,126.98558 
미술관,일민미술관,5호선,광화문역,서울 종로구 세종로 139,37.56981 ,126.97766 
문화원,잠실종합운동장,"2호선, 9호선",종합운동장역,서울 송파구 올림픽로 25,37.51489 ,127.07308 
기타,잠실창작스튜디오,"2호선, 9호선",종합운동장역,서울 송파구 올림픽로25,37.51489 ,127.07308 
미술관,장디자인아트,수인분당선,압구정로데오역,서울 강남구 도산대로67길 27,37.52588 ,127.04425 
문화예술회관,장지공방,8호선,장지역,서울 송파구 충민로 10,,
문화원,장충체육관,3호선,동대입구역,서울 중구 장충동2가 220-102,37.55820 ,127.00672 
문화예술회관,재미랑,4호선,명동역,서울 중구 퇴계로20길 42,37.55828 ,126.98627 
박물관/기념관,전쟁기념관,"4호선, 6호선",삼각지역,서울 용산구 용산동1가 8,37.53666 ,126.97714 
유적지,전쟁기념관전사자명비,"4호선, 6호선",삼각지역,서울 용산구 이태원로 29,37.53663 ,126.97715 
박물관/기념관,전태일기념관,"2호선, 3호선",을지로3가역,서울 종로구 청계천로 105,37.56845 ,126.98931 
공연장,전통연희상설극장 광화문아트홀,3호선,독립문역,서울 종로구 사직동 284-1,37.57429 ,126.96461 
공연장,정동극장,"1호선, 2호선",시청역,서울 중구 정동 8-11 길 43,37.56601 ,126.97284 
유적지,정릉,우이신설경전철,정릉역,서울 성북구 아리랑로19길 116,37.60212 ,127.00609 
유적지,정현왕후릉,"9호선, 수인분당선",선정릉역,서울 강남구 선릉로 100길 1,37.51047 ,127.04717 
공연장,정효아트센터 음악당,3호선,남부터미널역,서울 서초구 사임당로18길 52-2,37.48760 ,127.01938 
유적지,조계사,1호선,종각역,서울 종로구 우정국로 55,37.57396 ,126.98226 
유적지,조선선종선릉,"9호선, 수인분당선",선정릉역,서울 강남구 선릉로 100길 1,37.50734 ,127.04715 
미술관,조선일보미술관,5호선,광화문역,서울 중구 태평로1가 61-28,,
유적지,조선중종정릉,"2호선, 수인분당선",선릉역,서울 강남구 선릉로 100길 1,37.50734 ,127.04715 
유적지,조선지광사터,5호선,광화문역,서울 종로구 종로3길 33,37.57199 ,126.97885 
박물관/기념관,조세박물관,5호선,광화문역,서울 종로구 수송동 104,37.57415 ,126.97983 
미술관,조형갤러리,1호선,종각역,서울 종로구 인사동 194-27 5길 29,,
미술관,종로구립 고희동미술관,3호선,안국역,서울 종로구 창덕궁5길 40,37.58314 ,126.98896 
미술관,종로구립 박노수미술관,3호선,경복궁역,서울 종로구 옥인1길 34,37.58133 ,126.96681 
공연장,종로구민회관,"1호선, 6호선",동묘앞역,서울 종로구 창신동 222-8,37.57349 ,127.01437 
문화예술회관,종로문화재단,5호선,광화문역,서울 종로구 새문안로3길 3,37.57081 ,126.97242 
공연/전시장,종로문화재단 윤동주문학관,3호선,경복궁역,서울 종로구 창의문로 119,37.57081 ,126.97242 
유적지,종묘(세계문화유산),"1호선, 3호선, 5호선",종로3가역,서울 종로구 종로 157,37.57460 ,126.99414 
박물관/기념관,종이나라박물관,3호선,동대입구역,서울 중구 장충동1가 62-35,37.55965 ,127.00615 
기타,중구평생학습센터,"2호선, 5호선",을지로4가역,서울 중구 예관동 120-1,,
기타,중랑구민체육센터,6호선,봉화산역,서울 중랑구 신내로15길 189,,
